material,roughness
cast_iron,105
pe80_medium_density_polyethylene,145
pe100_high_performance_polyethylene,145
ductile_iron,125
steel,120
unknown,120
unplasticised_polyvinyl_chloride,155
polyethylene_black_poly,145
glass_reinforced_plastic,150
concrete,130
spun_iron,115
asbestos_cement,145
coated_steel,145
other,120
molecular_orientated_polyvinyl_chloride,155
lead,145
barrier_pipecoated_aluminium,145
poly_vinyl_chloride,155
brick,110
fibreglass,150
