WorkCode,Type,ESBP
CWCISN,Others - N/L,0.25
CWCRMA,Others - N/L,0.25
CWCRMB,Others - N/L,0.25
CWCRMC,Others - N/L,0.25
CWCRMN,Others - N/L,0.25
CWOAJA,Others - N/L,0.25
CWOAJB,Others - N/L,0.25
CWOAJC,Others - N/L,0.25
CWOAJN,Others - N/L,0.25
CWOGRA,Others,0.25
CWOGRB,Others,0.25
CWOGRC,Others,0.25
CWOGRN,Others,0.25
CWOLCA,Others - N/L,0.25
CWOLCB,Others - N/L,0.25
CWOLCC,Others - N/L,0.25
CWORPA,Others,0.25
CWORPB,Others,0.25
CWORPC,Others,0.25
CWORPN,Others,0.25
